=== n_sweep: 36 片待跑（180 局，8880 agent-局）· jobs=8 ===
[  1/ 36] rc=0   436s N=40 seeds=1-5 -> ship_n40_s1-5.jsonl
[  2/ 36] rc=0   434s N=40 seeds=6-10 -> ship_n40_s6-10.jsonl
[  3/ 36] rc=0   436s N=40 seeds=11-15 -> ship_n40_s11-15.jsonl
[  4/ 36] rc=0   438s N=40 seeds=16-20 -> ship_n40_s16-20.jsonl
[  5/ 36] rc=0   435s N=40 seeds=21-25 -> ship_n40_s21-25.jsonl
[  6/ 36] rc=0   446s N=40 seeds=26-30 -> ship_n40_s26-30.jsonl
[  7/ 36] rc=0   434s N=40 seeds=31-35 -> ship_n40_s31-35.jsonl
[  8/ 36] rc=0   439s N=40 seeds=36-40 -> ship_n40_s36-40.jsonl
[  9/ 36] rc=0   350s N=40 seeds=41-45 -> ship_n40_s41-45.jsonl
[ 10/ 36] rc=0   353s N=40 seeds=46-50 -> ship_n40_s46-50.jsonl
[ 11/ 36] rc=0   355s N=40 seeds=51-55 -> ship_n40_s51-55.jsonl
[ 12/ 36] rc=0   351s N=40 seeds=56-60 -> ship_n40_s56-60.jsonl
[ 13/ 36] rc=0   488s N=48 seeds=1-5 -> ship_n48_s1-5.jsonl
[ 14/ 36] rc=0   489s N=48 seeds=6-10 -> ship_n48_s6-10.jsonl
[ 15/ 36] rc=0   494s N=48 seeds=11-15 -> ship_n48_s11-15.jsonl
[ 16/ 36] rc=0   495s N=48 seeds=16-20 -> ship_n48_s16-20.jsonl
[ 17/ 36] rc=0   470s N=48 seeds=21-25 -> ship_n48_s21-25.jsonl
[ 18/ 36] rc=0   464s N=48 seeds=26-30 -> ship_n48_s26-30.jsonl
[ 19/ 36] rc=0   468s N=48 seeds=31-35 -> ship_n48_s31-35.jsonl
[ 20/ 36] rc=0   474s N=48 seeds=36-40 -> ship_n48_s36-40.jsonl
[ 21/ 36] rc=0   472s N=48 seeds=41-45 -> ship_n48_s41-45.jsonl
[ 22/ 36] rc=0   467s N=48 seeds=46-50 -> ship_n48_s46-50.jsonl
[ 23/ 36] rc=0   472s N=48 seeds=51-55 -> ship_n48_s51-55.jsonl
[ 24/ 36] rc=0   463s N=48 seeds=56-60 -> ship_n48_s56-60.jsonl
[ 25/ 36] rc=0   637s N=60 seeds=1-5 -> ship_n60_s1-5.jsonl
[ 26/ 36] rc=0   623s N=60 seeds=6-10 -> ship_n60_s6-10.jsonl
[ 27/ 36] rc=0   651s N=60 seeds=11-15 -> ship_n60_s11-15.jsonl
[ 28/ 36] rc=0   653s N=60 seeds=16-20 -> ship_n60_s16-20.jsonl
[ 29/ 36] rc=0   636s N=60 seeds=21-25 -> ship_n60_s21-25.jsonl
[ 30/ 36] rc=0   641s N=60 seeds=26-30 -> ship_n60_s26-30.jsonl
[ 31/ 36] rc=0   611s N=60 seeds=31-35 -> ship_n60_s31-35.jsonl
[ 32/ 36] rc=0   624s N=60 seeds=36-40 -> ship_n60_s36-40.jsonl
[ 33/ 36] rc=0   542s N=60 seeds=41-45 -> ship_n60_s41-45.jsonl
[ 34/ 36] rc=0   537s N=60 seeds=46-50 -> ship_n60_s46-50.jsonl
[ 35/ 36] rc=0   538s N=60 seeds=51-55 -> ship_n60_s51-55.jsonl
[ 36/ 36] rc=0   534s N=60 seeds=56-60 -> ship_n60_s56-60.jsonl
=== n_sweep done 墙钟=2451s ===
✅ 逐文件断言全过（seed 集合 / 无重复 / n_agents / days / 单段抬头 / 无 MISMATCH）
SWEEP_RC=0
